id;alert_type;description;created_date
1;eek psst;apud;2024-06-03T06:04:42
2;neatly when considering;beyond dizzy;2024-06-03T16:25:32
3;lively;spotless unto overstep;2024-06-03T23:05:28
4;but;bedeck indeed near;2024-06-04T01:59:44
5;babble tightly upside-down;yowza;2024-06-03T06:43:20
6;oof brr alongside;or given;2024-06-04T01:48:47
7;loudly;lest troubled;2024-06-03T16:17:10
8;furthermore fatal;vastly;2024-06-04T01:39:32
9;highly;burgeon;2024-06-03T21:56:49
10;monitor mid pro;married;2024-06-03T22:16:43
