id;start_time;end_time;origin;destination;available_seats
1;2024-06-03T16:33:09;2024-06-03T13:19:52;lest garden ha;huzzah;12034
2;2024-06-03T08:36:35;2024-06-03T21:09:54;frizzy thunderbolt;bountiful pike;25684
3;2024-06-03T03:14:23;2024-06-04T01:07:44;woot commonly unripe;revitalise found;13419
4;2024-06-03T21:09:29;2024-06-03T05:28:40;with medal;bitterly;10116
5;2024-06-03T15:48:17;2024-06-03T08:16:27;unbearably;whereas plush seal;2962
6;2024-06-03T06:42:16;2024-06-03T14:05:50;recklessly really seagull;toward boring yowza;305
7;2024-06-03T11:24:43;2024-06-04T00:08:48;mollify lest wrathful;fancy;3626
8;2024-06-03T04:06:16;2024-06-03T12:34:13;sarcastic toward yuck;flawed considering bah;31120
9;2024-06-03T07:19:14;2024-06-03T13:35:33;yuck innocence;nourishment deprecate gee;526
10;2024-06-03T07:54:28;2024-06-04T01:02:33;bah openly;sun stunning;9946
