id;session_id;start_time;end_time
1;regarding rehospitalisation oh;2024-06-03T22:46:24;2024-06-03T20:45:53
2;sluice;2024-06-03T08:49:05;2024-06-03T09:59:51
3;um creativity;2024-06-03T09:46:40;2024-06-03T08:42:59
4;frightening;2024-06-03T09:46:17;2024-06-03T03:25:24
5;unabashedly;2024-06-03T16:37:06;2024-06-03T14:18:24
6;tragedy;2024-06-03T21:09:30;2024-06-03T07:32:55
7;at oh;2024-06-03T11:31:03;2024-06-03T13:03:57
8;wrong successfully cleverly;2024-06-03T13:53:03;2024-06-03T22:31:26
9;diam upside-down;2024-06-03T07:23:08;2024-06-03T23:55:18
10;beautiful chaff gee;2024-06-03T11:53:16;2024-06-03T18:37:10
