id;command_type;sent_at;executed_at;command_status
1;superior excluding;2024-06-03T16:49:40;2024-06-03T17:17:50;EXECUTED
2;bloat vary;2024-06-03T22:31:02;2024-06-03T05:40:12;PENDING
3;supposing dearly;2024-06-03T17:10:53;2024-06-03T13:08:33;EXECUTED
4;fooey;2024-06-03T20:38:02;2024-06-03T04:19:02;FAILED
5;with fedelini once;2024-06-03T22:27:58;2024-06-03T17:35:50;FAILED
6;farrow;2024-06-03T05:17:18;2024-06-04T00:06:51;FAILED
7;gah expensive;2024-06-03T06:24:06;2024-06-04T00:31:56;EXECUTED
8;disallow pish;2024-06-03T16:26:56;2024-06-03T10:10:29;FAILED
9;brr;2024-06-03T22:32:29;2024-06-03T15:43:17;FAILED
10;incarnate aw;2024-06-04T01:02:57;2024-06-03T09:37:11;EXECUTED
