id;measurement_type;value;measurement_time
1;whereas judgment merrily;sledge whirlwind;2024-06-03T16:15:05
2;whoa submitter;obediently blood;2024-06-03T08:13:07
3;undershoot;thoughtfully violent;2024-06-04T02:14:25
4;when indolent;opulent rare;2024-06-03T08:53:54
5;adulthood;innocent;2024-06-03T23:47:48
6;abrade resign;seemingly homeschool via;2024-06-03T04:16:35
7;upon growling nor;automatic;2024-06-03T19:17:56
8;photograph west;underneath yippee resurrect;2024-06-04T02:10:19
9;when;knife tune-up;2024-06-03T04:39:06
10;before;ew;2024-06-03T19:02:39
