id;notification_type;message;sent_date
1;jabber;fantastic;2024-06-03T12:56:47
2;uniform as but;bum;2024-06-03T05:39:54
3;unless boo;round;2024-06-03T10:50:40
4;thoroughly deeply;once alongside;2024-06-03T21:46:16
5;ugly bidet imbibe;above hence lest;2024-06-04T00:21:18
6;whether;hair gah;2024-06-03T19:31:06
7;aside atop;actually hmph consequently;2024-06-03T02:50:00
8;meanwhile;which hourly;2024-06-03T20:33:41
9;miserably insecure;yet ha;2024-06-03T16:09:23
10;wrongly oppose;foolishly ugh;2024-06-03T15:00:58
