id;nome;tipo;configuracao;cliente_id
1;smoothly by capitalise;HUMIDITY;recondition;1
2;despite as;HUMIDITY;exemplary whether;2
3;hang ridicule;TEMPERATURE;feminine pack;3
4;boohoo subdued kindly;PRESSURE;disorient;4
5;rap;HUMIDITY;mostly playfully patiently;5
6;though after;TEMPERATURE;woot;6
7;shallow whoa circa;PRESSURE;insistent puff;7
8;athwart;HUMIDITY;yippee hence bray;8
9;rowdy reproachfully useless;TEMPERATURE;amongst until among;9
10;considering;TEMPERATURE;misinform frosty carefully;10
