id;created_at;updated_at;alert_description;alert_type
1;2024-06-03T20:41:46;2024-06-03T19:37:49;anti;terribly instead gadzooks
2;2024-06-03T23:54:56;2024-06-03T22:57:59;authorized;till lie fairly
3;2024-06-03T18:48:27;2024-06-03T21:56:55;combine divine;out when because
4;2024-06-03T18:17:04;2024-06-03T07:40:31;virtuous gripping meh;plus yowza
5;2024-06-03T15:29:40;2024-06-03T19:29:33;always muffled attain;male vibration
6;2024-06-04T01:52:06;2024-06-03T23:37:48;yellow properly gah;but
7;2024-06-03T11:07:23;2024-06-03T19:07:12;without;who inasmuch
8;2024-06-03T22:54:50;2024-06-03T03:55:48;materialise lizard;cycle
9;2024-06-03T14:14:08;2024-06-03T06:51:08;extemporize wherever outrageous;shallow chatter
10;2024-06-04T01:47:38;2024-06-03T03:34:52;the;who
