id;alert_type;alert_description;created_date
1;furthermore contention;under fiber whether;2024-06-03T04:23:25
2;next;boldly incidentally;2024-06-03T05:50:15
3;viciously;pace force afore;2024-06-03T03:34:21
4;that given seek;bite;2024-06-03T15:31:59
5;alongside pedal;kindheartedly which wherever;2024-06-03T03:07:29
6;loosely;firm tattoo;2024-06-03T18:14:51
7;so inconvenience;destabilise;2024-06-03T11:38:43
8;which illustrious french;if before;2024-06-03T13:29:39
9;midst disabuse;expectancy which bike;2024-06-03T05:37:45
10;uh-huh;dimly;2024-06-03T05:02:59
