id;measurement_date;water_level;water_quality
1;2024-06-03T16:32:01;18971.13;duh comradeship whereas
2;2024-06-03T20:25:26;2117.51;blond hmph
3;2024-06-03T03:37:26;364.21;dynamics curve sinuosity
4;2024-06-04T00:21:38;28407.81;dither whoa
5;2024-06-03T03:53:01;29758.26;if strip
6;2024-06-03T04:20:24;15172.17;hopelessly
7;2024-06-03T03:16:42;14776.25;yowza aboard boldly
8;2024-06-03T23:14:36;11377.55;if incompetence
9;2024-06-03T09:24:41;22833.53;putrid ha till
10;2024-06-03T02:41:31;5067.22;yum or
